0,s,514
9330000,r,514
68924000,s,514
176392000,r,514
272106000,s,514
564010000,r,514
24465103000,s,514
24819944000,r,514
24861938000,s,514
24900740000,s,514
25019629000,r,514
25019633000,r,514
29604784000,r,514
29646300000,s,514
30182669000,r,514
30229174000,s,514
30229177999,s,514
30726563000,r,514
30726568000,r,514
30726570000,r,514
30726571000,r,514
30726574000,r,514
30726575999,r,514
30772495000,s,514
31252194000,r,514
31298489999,s,514
31333983999,s,514
33308571999,r,514
38775971000,s,514
38775977000,s,514
